Indicator Name,Indicator Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Afghanistan,AFG,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Albania,ALB,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Algeria,DZA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,American Samoa,ASM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Andorra,ADO,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Angola,AGO,,,35.1,,,30.7,,,27.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Antigua and Barbuda,ATG,,,29,,,22.8,,,20.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Argentina,ARG,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Armenia,ARM,,,5.4,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Aruba,ABW,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Australia,AUS,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Austria,AUT,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Azerbaijan,AZE,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Bahamas, The",BHS,,,7.9,,,7.4,,,7.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bahrain,BHR,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bangladesh,BGD,,,15.1,,,16.1,,,16.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Barbados,BRB,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belarus,BLR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belgium,BEL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belize,BLZ,,,6.7,,,7.5,,,6.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Benin,BEN,,,13.1,,,10.8,,,8.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bermuda,BMU,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bhutan,BTN,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bolivia,BOL,,,29.1,,,27.5,,,24.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bosnia and Herzegovina,BIH,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Botswana,BWA,,,32.9,,,31.9,,,27.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brazil,BRA,,,8.7,,,7.8,,,6.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brunei Darussalam,BRN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bulgaria,BGR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burkina Faso,BFA,,,25.8,,,24.4,,,25.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burundi,BDI,,,67.9,,,72.4,,,73.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cambodia,KHM,,,27.4,,,21.7,,,17.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cameroon,CMR,,,19.5,,,15.6,,,15.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Canada,CAN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cape Verde,CPV,,,11.3,,,10.5,,,8.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cayman Islands,CYM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Central African Republic,CAF,,,40.6,,,32.6,,,30,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Chad,TCD,,,37.3,,,36.4,,,33.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Channel Islands,CHI,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Chile,CHL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,China,CHN,,,13.1,,,11.6,,,11.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Colombia,COL,,,13.6,,,12.5,,,12.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Comoros,COM,,,58.1,,,62.6,,,70,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Congo, Dem. Rep.",ZAR,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Congo, Rep.",COG,,,32.9,,,34.6,,,37.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Costa Rica,CRI,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cote d'Ivoire,CIV,,,19.6,,,19.3,,,21.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Croatia,HRV,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cuba,CUB,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Curacao,CUW,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cyprus,CYP,,,5,,,5,,,5,
